object_name,long_name,lat,lng,height
neula,Näsinneula,61.504961,23.743183,167.9
torni,Torni-hotelli,61.496944,23.7755,88.5
tampella,Tampellan savupiippu,61.506058,23.763898,98
klingendahl,Klingendahlin savupiippu,61.491798,23.752299,83.3
trikoo,Suomen Trikoon savupiippu,61.492271,23.725623,80.8
frenckell,Frenckellin savupiippu,61.499385,23.762522,61.5
haulitorni,Haulitorni,61.505239,23.711377,55
tako,Takon savupiippu,61.496558,23.763343,83.9
attila,Attilan savupiippu,61.498599,23.778825
kehrasaari,Kehräsaren savupiippu,61.495691,23.763798,26.8
pyynikki,Pyynikin näkötorni,61.496386,23.731967,26
finlayson,Finlaysonin savupiippu,61.501221,23.760014,60
